Date,Open,High,Low,Close,Adj Close,Volume
29-06-2010,3.8,5,3.508,4.778,4.778,93831500
30-06-2010,5.158,6.084,4.66,4.766,4.766,85935500
01-07-2010,5,5.184,4.054,4.392,4.392,41094000
02-07-2010,4.6,4.62,3.742,3.84,3.84,25699000
06-07-2010,4,4,3.166,3.222,3.222,34334500
07-07-2010,3.28,3.326,2.996,3.16,3.16,34608500
08-07-2010,3.228,3.504,3.114,3.492,3.492,38557000
09-07-2010,3.516,3.58,3.31,3.48,3.48,20253000
12-07-2010,3.59,3.614,3.4,3.41,3.41,11012500
13-07-2010,3.478,3.728,3.38,3.628,3.628,13400500
14-07-2010,3.588,4.03,3.552,3.968,3.968,20976000
15-07-2010,3.988,4.3,3.8,3.978,3.978,18699000
16-07-2010,4.14,4.26,4.01,4.128,4.128,13106500
19-07-2010,4.274,4.45,4.184,4.382,4.382,12432500
20-07-2010,4.37,4.37,4.01,4.06,4.06,9126500
21-07-2010,4.132,4.18,3.9,4.044,4.044,6262500
22-07-2010,4.1,4.25,4.074,4.2,4.2,4789000
23-07-2010,4.238,4.312,4.212,4.258,4.258,3268000
26-07-2010,4.3,4.3,4.06,4.19,4.19,4611000
27-07-2010,4.182,4.236,4.052,4.11,4.11,3098500
28-07-2010,4.11,4.18,4.102,4.144,4.144,2336000
29-07-2010,4.154,4.176,4,4.07,4.07,3080000
30-07-2010,4.04,4.088,3.91,3.988,3.988,2134500
02-08-2010,4.1,4.194,4.066,4.184,4.184,3590500
03-08-2010,4.2,4.39,4.164,4.39,4.39,6152500
04-08-2010,4.39,4.436,4.17,4.252,4.252,4565000
05-08-2010,4.308,4.31,4.01,4.09,4.09,3981000
06-08-2010,4.02,4.032,3.904,3.918,3.918,3709500
09-08-2010,3.98,3.996,3.89,3.92,3.92,4063500
10-08-2010,3.93,3.93,3.764,3.806,3.806,6406500
11-08-2010,3.738,3.776,3.57,3.58,3.58,3988000
12-08-2010,3.56,3.58,3.478,3.52,3.52,3455000
13-08-2010,3.636,3.69,3.532,3.664,3.664,3170000
16-08-2010,3.69,3.76,3.652,3.756,3.756,2429000
17-08-2010,3.792,3.88,3.756,3.83,3.83,2239500
18-08-2010,3.918,3.918,3.72,3.754,3.754,3006500
19-08-2010,3.708,3.85,3.666,3.758,3.758,2895500
20-08-2010,3.73,3.822,3.702,3.82,3.82,1480000
23-08-2010,3.818,4.078,3.8,4.026,4.026,5440500
24-08-2010,3.85,3.942,3.79,3.84,3.84,3365500
25-08-2010,3.832,3.996,3.712,3.98,3.98,2516500
26-08-2010,3.978,4.054,3.92,3.95,3.95,2169000
27-08-2010,3.95,3.974,3.9,3.94,3.94,1898000
30-08-2010,3.94,4.038,3.922,3.974,3.974,3664000
31-08-2010,3.932,3.958,3.866,3.896,3.896,1005500
01-09-2010,3.924,4.138,3.92,4.09,4.09,2474500
02-09-2010,4.074,4.248,4.062,4.212,4.212,2435500
03-09-2010,4.174,4.26,4.132,4.21,4.21,2173000
07-09-2010,4.122,4.2,4.1,4.108,4.108,1217000
08-09-2010,4.132,4.19,4.12,4.18,4.18,1442000
09-09-2010,4.2,4.21,4.138,4.142,4.142,1881000
10-09-2010,4.15,4.186,3.952,4.034,4.034,1933000
13-09-2010,4.178,4.18,4.1,4.144,4.144,1804000
14-09-2010,4.108,4.32,4.106,4.224,4.224,3273500
15-09-2010,4.196,4.4,4.158,4.396,4.396,3423000
16-09-2010,4.43,4.632,4.168,4.188,4.188,13422500
17-09-2010,4.204,4.264,3.96,4.046,4.046,5992500
20-09-2010,4.134,4.27,4.032,4.212,4.212,4737500
21-09-2010,4.178,4.31,4.134,4.154,4.154,3980000
22-09-2010,4.174,4.19,3.96,3.974,3.974,4814500
23-09-2010,3.978,4.028,3.9,3.912,3.912,3340500
24-09-2010,3.99,4.038,3.93,4.02,4.02,2894500
27-09-2010,4.08,4.162,4.01,4.106,4.106,2093000
28-09-2010,4.208,4.298,4.152,4.28,4.28,6072500
29-09-2010,4.238,4.406,4.226,4.396,4.396,9846500
30-09-2010,4.4,4.43,4.038,4.082,4.082,10979000
01-10-2010,4.138,4.15,4.062,4.12,4.12,2988500
04-10-2010,4.086,4.234,4.06,4.198,4.198,3218000
05-10-2010,4.23,4.256,4.202,4.224,4.224,1660000
06-10-2010,4.212,4.252,4.064,4.092,4.092,1567000
07-10-2010,4.114,4.128,4.068,4.086,4.086,705000
08-10-2010,4.086,4.158,4.078,4.086,4.086,1339000
11-10-2010,4.088,4.14,4.014,4.048,4.048,856000
12-10-2010,4.04,4.056,4.006,4.048,4.048,1220000
13-10-2010,4.128,4.17,4.072,4.108,4.108,1591000
14-10-2010,4.2,4.206,4.08,4.15,4.15,1474000
15-10-2010,4.178,4.18,4.05,4.108,4.108,1423500
18-10-2010,4.104,4.128,4.044,4.046,4.046,814000
19-10-2010,4.04,4.082,4,4.01,4.01,1226000
20-10-2010,4.032,4.138,4.008,4.13,4.13,1562500
21-10-2010,4.122,4.19,4.09,4.15,4.15,2085500
22-10-2010,4.136,4.186,4.11,4.144,4.144,805500
25-10-2010,4.188,4.196,4.146,4.17,4.17,592500
26-10-2010,4.16,4.374,4.102,4.272,4.272,3304500
27-10-2010,4.25,4.276,4.13,4.2,4.2,1782500
28-10-2010,4.278,4.3,4.192,4.238,4.238,1121000
29-10-2010,4.228,4.37,4.21,4.368,4.368,1403000
01-11-2010,4.388,4.55,4.262,4.282,4.282,2279000
02-11-2010,4.336,4.376,4.21,4.25,4.25,1612500
03-11-2010,4.256,4.5,4.232,4.354,4.354,1863000
04-11-2010,4.52,5.066,4.43,4.98,4.98,9370000
05-11-2010,4.974,4.994,4.744,4.888,4.888,5055000
08-11-2010,4.9,5,4.806,4.996,4.996,2547500
09-11-2010,5,5.138,4.81,4.926,4.926,4782000
10-11-2010,4.896,5.994,4.81,5.872,5.872,15302500
11-11-2010,5.72,5.82,5.466,5.608,5.608,9726500
12-11-2010,5.65,6.1,5.614,5.968,5.968,13645500
15-11-2010,6.044,6.588,6.044,6.16,6.16,13114500
16-11-2010,6.2,6.28,5.684,5.934,5.934,6738000
17-11-2010,6.04,6.15,5.722,5.898,5.898,3750000
18-11-2010,6.134,6.148,5.784,5.978,5.978,4780500
19-11-2010,6.032,6.274,5.94,6.198,6.198,5752500
22-11-2010,6.314,6.69,6.3,6.68,6.68,7648500
23-11-2010,6.658,7.136,6.438,6.914,6.914,7889000
24-11-2010,7.054,7.194,6.866,7.094,7.094,7125000
26-11-2010,7.12,7.2,6.95,7.064,7.064,1753000
29-11-2010,7.082,7.19,6.666,6.866,6.866,5728000
30-11-2010,6.748,7.066,6.682,7.066,7.066,11113000
01-12-2010,7.174,7.284,6.69,6.87,6.87,6496000
02-12-2010,6.802,6.86,6.24,6.47,6.47,10035000
03-12-2010,6.402,6.45,6.174,6.298,6.298,5800500
06-12-2010,6.27,6.29,5.912,6.062,6.062,6372000
07-12-2010,6.098,6.48,6.01,6.312,6.312,6556500
08-12-2010,6.496,6.498,6.304,6.474,6.474,3300000
09-12-2010,6.502,6.544,6.33,6.41,6.41,2030000
10-12-2010,6.41,6.584,6.226,6.304,6.304,2147000
13-12-2010,6.328,6.354,6.08,6.11,6.11,2052000
14-12-2010,6.058,6.078,5.552,5.706,5.706,8828500
15-12-2010,5.734,5.994,5.706,5.92,5.92,3714500
16-12-2010,6,6.182,5.93,6.162,6.162,3950500
17-12-2010,6.268,6.308,6.142,6.272,6.272,4065000
20-12-2010,6.328,6.438,6.252,6.34,6.34,2617000
21-12-2010,6.36,6.538,6.342,6.452,6.452,3888500
22-12-2010,6.45,6.572,6.34,6.526,6.526,4166500
23-12-2010,6.252,6.496,5.984,6.018,6.018,7763000
27-12-2010,5.604,5.716,5.012,5.11,5.11,46509500
28-12-2010,5.17,5.35,5,5.282,5.282,20281500
29-12-2010,5.406,5.602,5.3,5.546,5.546,16596000
30-12-2010,5.54,5.58,5.276,5.3,5.3,10205500
31-12-2010,5.314,5.45,5.3,5.326,5.326,7089500
03-01-2011,5.368,5.4,5.18,5.324,5.324,6415000
04-01-2011,5.332,5.39,5.204,5.334,5.334,5937000
05-01-2011,5.296,5.38,5.238,5.366,5.366,7233500
06-01-2011,5.366,5.6,5.362,5.576,5.576,10306000
07-01-2011,5.6,5.716,5.58,5.648,5.648,11239500
10-01-2011,5.634,5.736,5.61,5.69,5.69,6713500
11-01-2011,5.718,5.742,5.384,5.392,5.392,8551000
12-01-2011,5.402,5.48,5.304,5.392,5.392,4822000
13-01-2011,5.392,5.394,5.232,5.244,5.244,3618000
14-01-2011,5.23,5.316,5.122,5.15,5.15,5960000
18-01-2011,5.096,5.128,4.95,5.128,5.128,8108500
19-01-2011,5.054,5.094,4.75,4.806,4.806,11857500
20-01-2011,4.806,4.89,4.474,4.524,4.524,11399500
21-01-2011,4.624,4.718,4.542,4.608,4.608,6085000
24-01-2011,4.706,4.962,4.646,4.898,4.898,8225500
25-01-2011,4.93,4.978,4.804,4.936,4.936,6357500
26-01-2011,4.942,4.976,4.82,4.95,4.95,5399500
27-01-2011,4.948,5.016,4.906,4.984,4.984,4478500
28-01-2011,4.976,4.976,4.75,4.802,4.802,5242000
31-01-2011,4.81,4.824,4.7,4.82,4.82,4151500
01-02-2011,4.862,4.946,4.708,4.782,4.782,3539000
02-02-2011,4.832,4.836,4.734,4.788,4.788,2847500
03-02-2011,4.764,4.78,4.63,4.726,4.726,2560000
04-02-2011,4.688,4.734,4.644,4.692,4.692,2720000
07-02-2011,4.652,4.652,4.576,4.614,4.614,4475500
08-02-2011,4.756,5.05,4.6,4.898,4.898,17524500
09-02-2011,4.826,4.836,4.558,4.642,4.642,13178000
10-02-2011,4.652,4.728,4.562,4.644,4.644,4180500
11-02-2011,4.65,4.75,4.588,4.65,4.65,3172500
14-02-2011,4.728,4.828,4.61,4.616,4.616,6415500
15-02-2011,4.602,4.634,4.512,4.568,4.568,4768500
